Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft,Year_Built,Floors,Garage,Lot_Size,Condition,House_Age,Total_Rooms,Luxury_Score,Price_per_SqFt
800.0,3,2,Semi-Furnished,Rohini Sector 25,1,6500000,Ready_to_move,New_Property,Builder_Floor,,1998,5,0,800.0,Fair,28,5.0,2.0,8125.0
750.0,2,2,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1,5000000,Ready_to_move,New_Property,Apartment,6667.0,2018,3,0,750.0,Excellent,8,4.0,4.0,6666.666666666667
950.0,2,2,Furnished,"Citizen Apartment, Rohini Sector 13",1,15500000,Ready_to_move,Resale,Apartment,6667.0,2014,4,0,950.0,Good,12,4.0,4.0,16315.78947368421
600.0,2,2,Semi-Furnished,Rohini Sector 24,1,4200000,Ready_to_move,Resale,Builder_Floor,6667.0,2008,1,0,600.0,Average,18,4.0,2.5,7000.0
650.0,2,2,Semi-Furnished,"Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge",1,6200000,Ready_to_move,New_Property,Builder_Floor,6667.0,2008,10,0,650.0,Average,18,4.0,2.5,9538.461538461539
1300.0,4,3,Semi-Furnished,Rohini Sector 24,1,15500000,Ready_to_move,New_Property,Builder_Floor,6667.0,2020,14,0,1300.0,Excellent,6,7.0,4.0,11923.076923076924
1350.0,4,3,Semi-Furnished,Rohini Sector 24,1,10000000,Ready_to_move,Resale,Builder_Floor,6667.0,1998,11,0,1350.0,Fair,28,7.0,2.0,7407.407407407408
650.0,2,2,Semi-Furnished,"Delhi Homes, Rohini Sector 24",1,4000000,Ready_to_move,New_Property,Apartment,6154.0,2016,7,0,650.0,Good,10,4.0,3.0,6153.846153846154
985.0,3,3,Unfurnished,Rohini Sector 21,1,6800000,Almost_ready,New_Property,Builder_Floor,6154.0,2001,7,0,985.0,Average,25,6.0,1.5,6903.553299492386
1300.0,4,4,Semi-Furnished,Rohini Sector 22,1,15000000,Ready_to_move,New_Property,Builder_Floor,6154.0,1998,5,0,1300.0,Fair,28,8.0,2.0,11538.461538461539
1100.0,3,2,Semi-Furnished,Rohini Sector 20,1,6200000,Ready_to_move,New_Property,Builder_Floor,6154.0,2011,3,0,1100.0,Good,15,5.0,3.0,5636.363636363636
870.0,3,2,Semi-Furnished,Rohini Sector 25,1,7700000,Ready_to_move,New_Property,Builder_Floor,6154.0,2024,9,0,870.0,New,2,5.0,4.0,8850.574712643678
630.0,2,2,Semi-Furnished,Rohini Sector 24,1,5500000,Ready_to_move,New_Property,Builder_Floor,6154.0,2017,9,0,630.0,Good,9,4.0,3.0,8730.15873015873
660.0,2,2,Semi-Furnished,Rohini Sector 24,1,5000000,Ready_to_move,Resale,Builder_Floor,6154.0,2018,1,0,660.0,Excellent,8,4.0,4.0,7575.757575757576
344.4448,2,2,Semi-Furnished,Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By,1,3310000,Ready_to_move,Resale,Builder_Floor,6154.0,2016,7,0,344.44,Good,10,4.0,3.0,9609.667499698066
